Rank,Team Name,Institution,Username,Score,total_time,Penalty,Site
1,Div4Maxxer,Indian Institute of Technology - Kharagpur,icpcamros2636,1100,14:40:33,6,Amritapuri
2,hehe i do cp,Indian Institute of Technology - Roorkee,icpcamros2526,1000,22:48:50,6,Amritapuri
3,TOURISTS,Indian Institute of Technology - Delhi,icpcamros2713,1000,24:09:31,4,Amritapuri
4,skill tissue,Indian Institute of Technology - Roorkee,icpcamros2766,900,17:56:52,7,Amritapuri
5,Malai Chaap Extra Masala,Indian Institute of Technology - Roorkee,icpcamros2700,900,19:50:13,6,Bangalore
6,Wowwies,DJ Sanghvi College of Engineering,icpcamros2786,900,23:22:28,9,Bangalore
7,Slendermen,Indian Institute of Technology - Hyderabad,icpcamros2732,900,23:46:44,8,Amritapuri
8,AC || AFK,"Indian Institute of Technology (ISM), Dhanbad",icpcamros2601,900,24:50:03,9,Amritapuri
9,lazy three,"International Institute of Information Technology, Hyderabad",icpcamros2717,900,25:20:16,9,Amritapuri
10,The Blasters,"Indian Institute of Technology, Madras",icpcamros2752,800,15:29:07,6,Amritapuri
11,not qualified,Indian Institute of Technology - Varanasi,icpcamros2503,800,16:16:46,7,Amritapuri
12,SegFault@IITB,Indian Institute of Technology - Bombay,icpcamros2516,800,17:39:42,7,Amritapuri
13,WA.on.pretest.4,Indian Institute of Technology - Kanpur,icpcamros2731,800,17:45:07,8,Amritapuri
14,youwannaplay?letsplay,Indian Institute of Technology - Kharagpur,icpcamros2773,800,18:22:02,4,Bangalore
15,ICPC**2,"International Institute of Information Technology, Hyderabad",icpcamros2628,800,21:15:54,6,Amritapuri
16,(un)retired,Indian Institute of Technology - Kanpur,icpcamros2673,800,25:32:50,11,Amritapuri
17,Golden Eagle,Indian Institute of Technology - Roorkee,icpcamros2748,700,09:12:51,2,Amritapuri
18,Azkaban ke Kaidi,Indian Institute of Technology - Indore,icpcamros2517,700,10:37:43,3,Amritapuri
19,godeaters,Indian Institute of Technology - Varanasi,icpcamros2817,700,11:28:51,2,Bangalore
20,cantreachCM,Indian Institute of Technology - Bombay,icpcamros2799,700,11:58:43,4,Bangalore
21,Keval Have Mercy,"International Institute of Information Technology, Hyderabad",icpcamros2802,700,12:43:22,4,Amritapuri
22,dinoxors,Indian Institute of Technology - Indore,icpcamros2728,700,13:01:48,5,Amritapuri
23,Peri Peri Fries,Indian Institute of Technology - Varanasi,icpcamros2615,700,13:16:23,3,Amritapuri
24,PPA-46ms,"Indian Institute of Technology, Madras",icpcamros2745,700,13:21:55,5,Amritapuri
25,Codeblasters,"Indian Institute of Science, Bangalore",icpcamros2541,700,14:53:05,4,Amritapuri
26,OnlyYou,Indian Institute of Technology - Ropar,icpcamros2511,700,15:22:30,5,Bangalore
27,assert(false),Indian Institute of Technology - Delhi,icpcamros2555,700,15:41:42,8,Amritapuri
28,kzzouka,"Birla Institute of Technology and Science, Pilani Campus",icpcamros2546,700,16:10:44,6,Bangalore
29,team,International Institute of Information Technology - Bangalore,icpcamros2639,700,16:26:35,6,Coimbatore
30,Team Teleforces,Indian Institute of Technology - Patna,icpcamros2620,700,16:34:25,9,Amritapuri
31,Weak Testcase,IIIT-Delhi,icpcamros2725,700,17:28:09,17,Amritapuri
32,LAL Fund,Indian Institute of Information Technology Allahabad,icpcamros2722,600,07:42:19,0,Bangalore
33,Level,Indian Institute of Information Technology Allahabad,icpcamros2523,600,08:24:39,1,Amritapuri
34,The Sidekicks,IIIT-Delhi,icpcamros2765,600,08:45:54,2,Amritapuri
35,#1frombits.h,"BITS-Pilani, Hyderabad Campus",icpcamros2610,600,10:29:51,4,Amritapuri
36,hope_is_np_hard,Veermata Jijabai Technological Institute,icpcamros2641,600,10:31:44,3,Bangalore
37,IseePCs,"K. J. Somaiya College of Engineering, Vidyavihar, Mumbai",icpcamros2681,600,10:55:30,4,Bangalore
38,"Nah, We'd Win","Indian Institute of Technology (ISM), Dhanbad",icpcamros2649,600,11:06:23,3,Amritapuri
39,ByteMeSofter,"National Institute of Technology Karnataka, Surathkul",icpcamros2710,600,11:09:29,5,Amritapuri
40,ACSepted,Indian Institute of Technology - Hyderabad,icpcamros2741,600,11:12:15,2,Coimbatore
41,Litti Chokers,Indian Institute of Technology - Kanpur,icpcamros2703,600,11:17:56,0,Bangalore
42,Waluigi,Indian Institute of Technology - Hyderabad,icpcamros2698,600,11:25:42,4,Amritapuri
43,BLANK,Indian Institute of Information Technology Nagpur,icpcamros2559,600,11:30:26,4,Bangalore
44,The Segmentors,Indian Institute of Technology - Indore,icpcamros2572,600,11:36:42,1,Amritapuri
45,CodeWarriors28,Indian Institute of Technology - Kharagpur,icpcamros2532,600,11:52:13,4,Bangalore
46,Kal_Batayenge,Rishihood University,icpcamros2746,600,11:56:21,3,Coimbatore
47,DiceStraw,"Indian Institute of Technology, Madras",icpcamros2609,600,11:59:40,4,Coimbatore
48,blue_Blazer_Black,Indian Institute of Technology - Roorkee,icpcamros2708,600,12:05:47,2,Bangalore
49,O(n)ionParatha,"National Institute of Technology Karnataka, Surathkul",icpcamros2684,600,12:11:15,3,Amritapuri
50,Codecrafters 2.0,Indian Institute of Technology - Indore,icpcamros2518,600,12:13:57,3,Amritapuri
51,APK.apk,"Indian Institute of Information Technology, Lucknow",icpcamros2819,600,12:14:57,7,Bangalore
52,CrystaLMatH,Indian Institute Of Technology Jodhpur,icpcamros2832,600,12:17:46,4,Bangalore
53,Kaaju Kishmish,Indian Institute of Technology - Guwahati,icpcamros2754,600,12:32:12,5,Amritapuri
54,Bhole Chature,Indian Institute of Technology - Roorkee,icpcamros2796,600,12:32:24,5,Amritapuri
55,Trie Again,"Birla Institute of Technology, Mesra",icpcamros2740,600,12:34:31,3,Coimbatore
56,mdspan,"Indian Institute of Information Technology, Sri City, Chittoor",icpcamros2680,600,12:35:25,2,Bangalore
57,taispmoiclfrbrurntshkspr,IIIT-Delhi,icpcamros2549,600,12:51:17,5,Coimbatore
58,not_this_time,The LNM Institute of Information Technology,icpcamros2718,600,13:00:06,6,Amritapuri
59,std::__builtin_orz,Indian Institute of Information Technology Kottayam,icpcamros2604,600,13:29:32,8,Bangalore
60,Inteqam,Indian Institute of Information Technology Allahabad,icpcamros2529,600,13:34:52,3,Bangalore
61,neela_hai_aasman,Army Institute of Technology,icpcamros2536,600,14:11:17,9,Amritapuri
62,Right Angled Triangle,VNR Vignana Jyothi Institute of Engineering & Technology,icpcamros2593,600,14:18:57,5,Amritapuri
63,Car Bhavani,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,icpcamros2564,600,14:21:16,10,Amritapuri
64,Eyes_e_peace_e,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",icpcamros2735,600,14:28:15,4,Bangalore
65,ITI_Bihta,Indian Institute of Technology - Patna,icpcamros2509,600,14:44:47,9,Bangalore
66,phirse lite lo,"Birla Institute of Technology and Science, Pilani Campus",icpcamros2547,600,14:51:47,12,Bangalore
67,BhhoolGaya,Indian Institute of Technology - Varanasi,icpcamros2689,600,14:53:59,6,Amritapuri
68,Paanwadi,Sardar Patel Institute of Technology,icpcamros2505,600,15:08:05,9,Coimbatore
69,Kache Aam,Indian Institute of Information Technology Kota,icpcamros2589,600,15:35:29,6,Coimbatore
70,icpc losers,Indian Institute of Technology - Delhi,icpcamros2531,600,15:37:05,8,Bangalore
71,BudMag,"BITS-Pilani, Goa Campus",icpcamros2613,600,15:52:03,6,Bangalore
72,man.forces,Indian Institute of Technology - Varanasi,icpcamros2633,600,16:34:01,5,Amritapuri
73,Namaste World,Nirma University,icpcamros2502,600,18:59:09,15,Amritapuri
74,Maa Anjaneya,"Institute of Engineering & Technology, Lucknow",icpcamros2761,500,07:24:01,3,Bangalore
75,Can't Decide A Name,COEP Technological University,icpcamros2562,500,07:25:13,4,Bangalore
76,aalsi teen,"International Institute of Information Technology, Hyderabad",icpcamros2565,500,07:40:49,2,Coimbatore
77,cp_karo,Delhi Technological University(Formerly DCE),icpcamros2553,500,07:41:40,3,Coimbatore
78,postesters2,"Vellore Institute of Technology, Chennai",icpcamros2783,500,07:43:46,2,Coimbatore
79,Cache us if you can,Sri Sivasubramaniya Nadar College of Engineering,icpcamros2568,500,07:48:54,3,Mysuru
80,Depletion Maximum,Indian Institute of Information Technology Pune,icpcamros2550,500,08:21:35,4,Bangalore
81,exeCuties,"Manipal� Institute of Technology, Manipal",icpcamros2590,500,08:30:22,4,Amritapuri
82,The Holy Trie-Nity,IIT Bhubaneswar,icpcamros2743,500,08:40:01,1,Bangalore
83,WhoCares,Indian Institute of Technology - Patna,icpcamros2514,500,08:44:39,1,Amritapuri
84,maniACs,Indian Institute of Technology - Gandhinagar,icpcamros2533,500,08:50:28,4,Bangalore
85,tripleH,Indian Institute of Technology - Patna,icpcamros2537,500,08:58:02,6,Amritapuri
86,RuntimeTerrors,National Institute of Technology Tiruchirappalli,icpcamros2650,500,08:59:09,5,Coimbatore
87,TBH,Indian Institute of Technology - Ropar,icpcamros2664,500,09:05:57,1,Bangalore
88,PECuliar Punjabi,Punjab Engineering College Chandigarh,icpcamros2552,500,09:15:07,2,Bangalore
89,TripleEyeTea_DMK,Indian Institute of Information Technology Design and manufacturing Kurnool,icpcamros2668,500,09:20:14,5,Bangalore
90,SneakyGolem,Indian Institute of Technology - Mandi,icpcamros2699,500,09:31:21,1,Bangalore
91,JAKers,Indian Institute of Technology - Guwahati,icpcamros2575,500,09:34:48,4,Amritapuri
92,JMD1,"BITS-Pilani, Goa Campus",icpcamros2508,500,09:42:21,2,Bangalore
93,Segment Three,DJ Sanghvi College of Engineering,icpcamros2704,500,09:44:02,4,Coimbatore
94,Aubergine,"National Institute of Technology, Hamirpur",icpcamros2629,500,09:52:28,1,Amritapuri
95,1331,Indian Institute of Technology - Roorkee,icpcamros2721,500,09:54:26,1,Bangalore
96,Submit kar de,Indian Institute of Information Technology Pune,icpcamros2588,500,10:03:42,3,Bangalore
97,Phoenix,Vardhaman College of Engineering,icpcamros2755,500,10:14:37,4,Bangalore
98,TuntunMausi,Indian Institute of Technology - Delhi,icpcamros2577,500,10:16:26,1,Amritapuri
99,Semicolon Survivors,Pune Institute of Computer Technology,icpcamros2655,500,10:20:50,3,Coimbatore
100,cpaglus,International Institute of Information Technology - Naya Raipur,icpcamros2697,500,10:36:40,2,Coimbatore
101,qChaltiHaiPavan,Army Institute of Technology,icpcamros2540,500,10:40:51,8,Coimbatore
102,Byte me harder,Lakshmi Narain College of Technology,icpcamros2688,500,11:06:36,7,Bangalore
103,AVS,Amity University,icpcamros2598,500,11:09:27,4,Mysuru
104,EXCEPTION EXCORCISTS,Indian Institute of Technology Tirupati,icpcamros2694,500,11:39:10,9,Coimbatore
105,Intregity,Indian Institute of Technology - Guwahati,icpcamros2806,500,11:47:57,7,Amritapuri
106,CtrlAltDel,BITS Digital,icpcamros2762,500,12:17:28,6,Coimbatore
107,SSD,National Institute of Technology Rourkela,icpcamros2691,500,12:36:19,4,Amritapuri
108,Divide & Conquerors,"Walchand College of Engineering, Sangli",icpcamros2661,500,12:40:54,7,Bangalore
109,DNY,International Institute of Information Technology - Bangalore,icpcamros2522,500,12:44:49,6,Amritapuri
110,While(true) TLE;,"Bundelkhand Institute of Engineering & Technology, Jhansi",icpcamros2794,500,12:53:57,9,Bangalore
111,retiredx3,"Indian Institute of Information Technology, Lucknow",icpcamros2782,500,13:17:40,3,Bangalore
112,YE DP NAHI HOGA,"Birla Institute of Technology, Mesra",icpcamros2543,500,13:59:03,12,Mysuru
113,Ackermans,VNR Vignana Jyothi Institute of Engineering & Technology,icpcamros2573,500,14:20:24,6,Amritapuri
114,Time Complexity Mafia,Motilal Nehru National Institute of Technology - Allahabad,icpcamros2607,500,15:38:35,15,Coimbatore
115,PSM_KKR,"National Institute of Technology, Kurukshetra",icpcamros2519,400,03:56:43,1,Bangalore
116,ALL_IN,"Harcourt Butler Technical University, Kanpur",icpcamros2545,400,04:23:32,2,Coimbatore
117,Sea++,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",icpcamros2530,400,04:32:07,3,Bangalore
118,Brahmastra,The LNM Institute of Information Technology,icpcamros2618,400,04:39:05,3,Bangalore
119,Alt+F4,"Indian Institute of Technology (ISM), Dhanbad",icpcamros2653,400,04:41:11,2,Amritapuri
120,nC3,"Indian Institute of Technology, Madras",icpcamros2779,400,04:53:58,0,Amritapuri
121,project mayhem,"Indian Institute of Information Technology and Management, Gwalior",icpcamros2561,400,05:05:18,3,Bangalore
122,PretestOne,Jadavpur University,icpcamros2534,400,05:07:00,0,Bangalore
123,attempt[-1],Indian Institute of Technology - Mandi,icpcamros2591,400,05:16:54,2,Bangalore
124,PurpleSector3,Pimpri Chinchwad College of Engineering,icpcamros2705,400,05:22:21,2,Bangalore
125,85%Attendance,National Institute of Technology Rourkela,icpcamros2677,400,05:30:57,1,Coimbatore
126,vorp,Veermata Jijabai Technological Institute,icpcamros2634,400,05:33:12,1,Amritapuri
127,chatur,Rishihood University,icpcamros2658,400,05:52:13,3,Coimbatore
128,Chokers,Punjab Engineering College Chandigarh,icpcamros2662,400,06:00:17,3,Bangalore
129,BROCODERS,"National Institute of Technology, Durgapur",icpcamros2600,400,06:01:00,3,Amritapuri
130,BitCode,Institute of Engineering and Technology - Devi Ahilya Univ.,icpcamros2723,400,06:04:32,4,Bangalore
131,Random_Page,"National Institute of Technology, Warangal",icpcamros2515,400,06:08:25,0,Coimbatore
132,icey peicy,Chandigarh University,icpcamros2678,400,06:12:51,2,Bangalore
133,GreedyBits,IIIT Vadodara,icpcamros2605,400,06:16:35,3,Bangalore
134,Tech Team,BITS Digital,icpcamros2764,400,06:34:51,2,Bangalore
135,snackoverflow,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad University of Technology,icpcamros2729,400,06:35:12,5,Coimbatore
136,Totally Cooked,Indian Institute of Information Technology Kota,icpcamros2733,400,06:43:26,2,Mysuru
137,Bitwise,Bhagwan Parshuram Institute of Technology,icpcamros2659,400,06:43:33,0,Coimbatore
138,Khokhla Ghudsawaar,International Institute of Information Technology - Bangalore,icpcamros2574,400,06:48:40,2,Coimbatore
139,all_we_need_is_ac,"Indian Institute of Technology, Palakkad",icpcamros2586,400,06:52:26,3,Mysuru
140,Triple S,Indian Institute of Technology - Kharagpur,icpcamros2805,400,06:55:35,2,Amritapuri
141,KleeneStar,Indian Institute of Technology Jammu,icpcamros2778,400,06:56:58,1,Bangalore
142,Ghafoor,Indian Institute of Information Technology Bhopal,icpcamros2682,400,06:59:48,6,Amritapuri
143,SHAN,Indian Institute of Technology Goa,icpcamros2727,400,07:04:16,3,Bangalore
144,Synergy,Indian Institute of Technology - Gandhinagar,icpcamros2781,400,07:05:15,2,Amritapuri
145,Tortoise_trio,Jadavpur University,icpcamros2583,400,07:18:23,2,Bangalore
146,DICECUP,Indian Institute of Technology - Kharagpur,icpcamros2803,400,07:18:59,3,Amritapuri
147,Incompetent,IIIT Vadodara,icpcamros2597,400,07:20:49,4,Amritapuri
148,Lords of the North,"National Institute of Technology, Patna",icpcamros2692,400,07:38:01,8,Bangalore
149,OopsWeACedIt,Indian Institute of Technology Dharwad,icpcamros2753,400,07:38:48,6,Bangalore
150,L-70's,Madan Mohan Malaviya University of Technology,icpcamros2558,400,07:43:29,7,Mysuru
151,arise,RV College of Engineering,icpcamros2645,400,07:52:40,5,Coimbatore
152,Codeblooded,Aditya Engineering College,icpcamros2747,400,07:55:09,6,Amritapuri
153,Void main(),Government College of Engineering and Leather Technology,icpcamros2643,400,07:56:45,8,Bangalore
