teamId,teamName,siteName,
1020592,SetBits111,"Banglore",
1024488,__Infinity_ ,Coimbatore,false
1024495,neela_hai_aasman,Army Institute of Technology,false
1024486,arrow_head_,Army Institute of Technology,false
1031352,211,Atal Bihari Vajpayee-Indian Institute of Information Technology and Management Gwalior,false
1020667,axa,Atal Bihari Vajpayee-Indian Institute of Information Technology and Management Gwalior,false
1027077,Byte Buddies,B. M. S. College of Engineering,false
1026493,SRS sus,"Birla Institute of Technology and Science, Pilani Campus",false
1026017,penalty_plus_plus,"Birla Institute of Technology and Science, Pilani Campus",false
1025071,MSB_overflow,"Birla Institute of Technology and Science, Pilani Campus",false
1022650,VON,"BITS-Pilani, Goa Campus",false
1022560,AAA_Battery,"BITS-Pilani, Goa Campus",false
1027032,JMD,"BITS-Pilani, Goa Campus",false
1026061,void *(*(*(**x[])())[])(),"BITS-Pilani, Hyderabad Campus",false
1033535,CodeCruXaders 2.0,"BITS-Pilani, Hyderabad Campus",false
1015430,Geeky Nerds,BML Munjal University,false
1014128,Velaris,"Bundelkhand Institute of Engineering &amp;amp; Technology, Jhansi",false
1023094,Compilation Error,Chandigarh University,false
1032395,TLE : Talent Limit Exceeded,Chandigarh University,false
1026972,Ice shard,Chennai Mathematical Institute,false
1020278,TLE_ka O(mlette),Chennai Mathematical Institute,false
1033388,intutive,Chitkara University,false
1015109,DhruvNnoobs,Datta Meghe College of Engineering,false
1008953,Chota Haathi,Delhi Skill and Entrepreneurship University Okhla-1,false
1023970,RRR,Delhi Technological University(Formerly DCE),false
