rank,teamId,teamName,institution,username,totalTime,Score,problemsSolved,isWomenOnly
1,1103770,(un)retired,Indian Institute of Technology - Kanpur,icpcpr251293,4:41:45,600,6,false
2,1107907,lazy three,"International Institute of Information Technology, Hyderabad",icpcpr251752,1:54:41,500,5,false
3,1089226,TOURISTS,Indian Institute of Technology - Delhi,icpcpr251118,1:56:22,500,5,false
4,1093914,PPA-46ms,"Indian Institute of Technology, Madras",icpcpr251637,2:06:40,500,5,false
5,1092896,skill tissue,Indian Institute of Technology - Roorkee,icpcpr251430,2:13:45,500,5,false
6,1091684,Weak Testcase,IIIT-Delhi,icpcpr250683,2:19:49,500,5,false
7,1094755,hehe i do cp,Indian Institute of Technology - Roorkee,icpcpr251446,2:50:49,500,5,false
8,1093127,Waluigi,Indian Institute of Technology - Hyderabad,icpcpr251240,3:09:48,500,5,false
9,1088399,Azkaban ke Kaidi,Indian Institute of Technology - Indore,icpcpr251251,3:10:18,500,5,false
10,1087175,AC || AFK,"Indian Institute of Technology (ISM), Dhanbad",icpcpr251044,3:28:13,500,5,false
11,1083456,dinoxors,Indian Institute of Technology - Indore,icpcpr251250,3:37:35,500,5,false
12,1085289,"Nah, We'd Win","Indian Institute of Technology (ISM), Dhanbad",icpcpr251037,3:44:32,500,5,false
13,1089691,The Blasters,"Indian Institute of Technology, Madras",icpcpr251631,3:47:14,500,5,false
14,1091990,WhoCares,Indian Institute of Technology - Patna,icpcpr251392,3:53:31,500,5,false
15,1077857,Div4Maxxer,Indian Institute of Technology - Kharagpur,icpcpr251319,3:56:34,500,5,false
16,1101893,Golden Eagle,Indian Institute of Technology - Roorkee,icpcpr251447,3:58:14,500,5,false
17,1089337,assert(false),Indian Institute of Technology - Delhi,icpcpr251122,4:02:47,500,5,false
18,1109105,man.forces,Indian Institute of Technology - Varanasi,icpcpr251558,4:05:43,500,5,false
19,1092351,SpeedyGreedy,Indian Institute of Technology - Patna,icpcpr251394,4:11:27,500,5,false
20,1092208,Level,Indian Institute of Information Technology Allahabad,icpcpr250781,4:14:36,500,5,false
21,1087958,Peri Peri Fries,Indian Institute of Technology - Varanasi,icpcpr251546,4:22:12,500,5,false
22,1083210,not qualified,Indian Institute of Technology - Varanasi,icpcpr251539,4:23:57,500,5,false
23,1087145,Right Angled Triangle,VNR Vignana Jyothi Institute of Engineering & Technology,icpcpr252931,4:24:34,500,5,false
24,1092074,SegFault@IITB,Indian Institute of Technology - Bombay,icpcpr251079,4:25:52,500,5,false
25,1084711,Team Teleforces,Indian Institute of Technology - Patna,icpcpr251382,4:26:03,500,5,false
26,1097646,WA.on.pretest.4,Indian Institute of Technology - Kanpur,icpcpr251285,4:26:28,500,5,false
27,1093048,tripleH,Indian Institute of Technology - Patna,icpcpr251405,4:27:42,500,5,false
28,1085061,Namaste World,Nirma University,icpcpr252414,4:27:46,500,5,false
29,1092541,Codecrafters 2.0,Indian Institute of Technology - Indore,icpcpr251263,4:30:15,500,5,false
30,1087327,just_better,Indian Institute of Technology - Bombay,icpcpr251077,4:33:18,500,5,false
31,1115584,JAKers,Indian Institute of Technology - Guwahati,icpcpr251209,4:38:22,500,5,false
32,1089947,TuntunMausi,Indian Institute of Technology - Delhi,icpcpr251125,4:38:55,500,5,false
33,1092987,Bhole Chature,Indian Institute of Technology - Roorkee,icpcpr251439,4:43:39,500,5,false
